X,Y,sY
14,"0,093","0,008"
15,"0,229","0,017"
17,"0,521","0,027"
19,"0,863","0,047"
20,"0,914","0,058"
21,"1,054","0,057"
22,"1,155","0,060"
24,"1,377","0,071"
26,"1,360","0,070"
28,"1,310","0,068"
29,"1,145","0,059"
30,"1,042","0,058"
31,"0,974","0,051"
32,"0,895","0,047"
33,"0,627","0,021"
34,"0,682","0,036"
35,"0,536","0,033"
37,"0,280","0,019"
38,"0,334","0,020"
39,"0,258","0,016"
39,"0,236","0,015"
41,"0,050","0,003"
42,"0,131","0,009"
45,"0,036","0,003"
47,"0,019","0,002"
